customer_key,customer_unique_id,total_spend,order_cnt,avg_order_value,avg_review_score,order_cancelled_cnt,avg_day_return_to_buy,cluster
1,248ffe10d632bebe4f7267f1f44844c9,89.8,1,89.8,1.0,0,0.0,0
2,b0015e09bb4b6e47c52844fab5fb6638,54.9,1,54.9,4.0,0,0.0,0
3,94b11d37cd61cb2994a194d11f89682b,179.99,1,179.99,5.0,0,0.0,0
4,4893ad4ea28b2c5b3ddf4e82e79db9e6,149.9,1,149.9,5.0,0,0.0,0
5,0b83f73b19c2019e182fd552c048a22c,93.0,1,93.0,4.0,0,0.0,0
6,104bdb7e6a6cdceaa88c3ea5fa6b2b93,59.99,1,59.99,1.0,0,0.0,0
7,14843983d4a159080f6afe4b7f346e7c,47.6,2,23.8,1.0,0,0.0,0
8,0b5295fc9819d831f68eb0e9a3e13ab7,120.9,1,120.9,5.0,0,0.0,0
9,e3cf594a99e810f58af53ed4820f25e5,159.98,2,79.99,5.0,0,10.0,0
10,7e0516b486e92ed3f3afdd6d1276cfbd,1107.0,1,1107.0,5.0,0,0.0,2
11,616309b2eeb7bd9c05b0fdfbab28e6c6,134.9,1,134.9,4.0,0,0.0,0
12,f90f55ee274a4ae21510b386134b09cd,47.99,1,47.99,3.0,0,0.0,0
13,15090f48004f3b0fc18a167ef82af4db,199.6,1,199.6,1.0,0,0.0,0
14,b7c13491fd2aecd9308c75bb4de979d8,89.9,1,89.9,5.0,0,0.0,0
15,fa30145b07cad8e972bea351a65216f4,159.9,1,159.9,4.0,0,0.0,0
16,1bc9b2dad6aefbfbc011508e34c8adfc,30.0,1,30.0,5.0,0,0.0,0
17,d73c3cf4a0922ece1176bd40eb76ac50,89.9,1,89.9,4.0,0,0.0,0
18,74541fbb7526dabecd0fc96b1192b9a7,122.9,1,122.9,5.0,0,0.0,0
19,cee6fa72fb403ef9554b41581108084b,53.99,1,53.99,4.0,0,0.0,0
20,03dabd77cb0ed7a26fafe19e36b67742,48.98,2,24.49,5.0,0,34.0,0
21,e57a935f49ffd73b93c18eaaa04efa84,29.9,1,29.9,5.0,0,0.0,0
22,655f4f1277487bf6c86c673de5e576a1,83.99,1,83.99,4.0,0,0.0,0
23,4ea5df5937187bd3176aee08d4782104,49.97,1,49.97,4.0,0,0.0,0
24,f4dc0a81a11d3d270ccf5a9c4b5b187b,49.9,1,49.9,5.0,0,0.0,0
25,e7897290aea0805ab175017e3f60c3e7,29.9,1,29.9,3.0,0,0.0,0
26,48efc7def11f9a644e1993a3d97361d2,349.9,1,349.9,5.0,0,0.0,0
27,06caeba6db23a17bf9bcb3846b768387,149.9,1,149.9,5.0,0,0.0,0
28,334fed5abcee3aa96c13f1432703e1fd,79.9,1,79.9,5.0,0,0.0,0
29,61f5df1a634167ff48d76d79d21226de,37.64,1,37.64,2.0,0,0.0,0
30,5616f75d22507069b5383854a1d8c414,399.8,2,199.9,3.0,0,49.0,1
31,533b3a42bf5005c302539e093b445d3d,28.9,1,28.9,5.0,0,0.0,0
32,8141dd1e051afe7d72079570fe72d5f1,0.0,1,0.0,1.0,0,0.0,0
33,490c854539b21598cfbbac518ca25788,122.99,1,122.99,5.0,0,0.0,0
34,866c923cde750dfc8cfbcf9d5ced0ee4,167.99,1,167.99,3.0,0,0.0,0
35,e36a621e869b643b15983fa8085eb541,34.9,1,34.9,4.0,0,0.0,0
36,688bb6776d5f885e4b46d4c4bac240c2,42.99,1,42.99,5.0,0,0.0,0
37,392c8818b71b14227a7c701e7d54a3a1,37.9,1,37.9,5.0,0,0.0,0
38,4662682dade3cc1bfa04996c5225a849,99.99,1,99.99,4.0,0,0.0,0
39,163b27a06a32c2fa565927170b59b5d4,45.0,1,45.0,5.0,0,0.0,0
40,b6d2145b6b5de5dcc494c151af5fdce9,75.0,1,75.0,4.0,0,0.0,0
41,ba7ae7b528a2b8359ff63e3014da964c,13.65,1,13.65,5.0,0,0.0,0
42,46b44ab325f78e5bb3dc0bbef1082082,29.99,1,29.99,4.0,0,0.0,0
43,0f88eb431888ffb9d726252b7ac8cefe,110.32,1,110.32,4.0,0,0.0,0
44,ed5340f0e2a52fffa065298aeb875e60,28.9,1,28.9,4.0,0,0.0,0
45,c6b7dcd3718d1ad87f069d32a8566ce2,23.9,1,23.9,5.0,0,0.0,0
46,28a4a9aa9bd3640e1f9a9cf542cb25fd,899.9,1,899.9,5.0,0,0.0,2
47,dbedaa0402e0dfa8b90fb9557424c5fc,59.9,1,59.9,5.0,0,0.0,0
48,934c19eeef04da89928f995df85cf3f8,234.9,1,234.9,1.0,0,0.0,0
49,589621a1ce8b9302b75d6920dfd7dd01,195.9,1,195.9,5.0,0,0.0,0
50,5e718c3c3061694c7b7e31d183f88a45,24.9,1,24.9,4.0,0,0.0,0
51,8b57ae2e81c35f05e114c1461ae84b6c,229.0,1,229.0,5.0,0,0.0,0
52,47b6bc410befb9fa30a4c029dba944e5,99.9,1,99.9,5.0,0,0.0,0
53,6cd042e0832c40d2eebf82b2521a8487,125.93,1,125.93,4.0,0,0.0,0
54,4c41d73f1d29f1cd1e725ec445a82f23,198.0,1,198.0,5.0,0,0.0,0
55,0659763dba9821af49728668716e1084,52.0,1,52.0,1.0,0,0.0,0
56,8bc183d9b9efac18f96f680940191c45,13.47,1,13.47,5.0,0,0.0,0
57,b6a3c8559ca50f11853e81dcc7674f2f,9.4,1,9.4,4.0,0,0.0,0
58,74c286ab8cc161142213780711964b06,459.99,1,459.99,4.0,0,0.0,0
59,660e4e077b40d477e2ffdb2da6349b79,78.9,1,78.9,5.0,0,0.0,0
60,f422964d43fc7ecdc3e51443af0705f9,24.99,1,24.99,5.0,0,0.0,0
61,76e5f3bca2b1f5c510c41563c2ea31a4,34.0,2,17.0,1.0,1,23.0,3
62,46a19a5b29624c9be39b41ab02b12b39,311.25,1,311.25,5.0,0,0.0,0
63,e6ad2d9078cb28e4ac6ecef8432e74c7,176.6,1,176.6,2.0,0,0.0,0
64,5a77d3e9231351d3a4ea54c3fe824e79,29.5,1,29.5,4.0,0,0.0,0
65,539b6ae3b5f2999db7e44c8d4dc2069f,99.0,1,99.0,2.0,0,0.0,0
66,97258e1c1f77f32358eccd1c9ee5954d,249.99,2,124.995,5.0,0,505.0,1
67,6e9b8e9f9c3fad22d6f81b2628750018,174.99,1,174.99,5.0,0,0.0,0
68,de94076bba3c66ffaaa867d14a663cbe,79.9,1,79.9,5.0,0,0.0,0
69,bd3001c423ef9a9092b0a5158f1ccdf6,119.8,1,119.8,5.0,0,0.0,0
70,c209709f857255c80d07a0be8c630b0d,59.9,1,59.9,5.0,0,0.0,0
71,9bca65d60b3dffad98eafa3c50101fad,62.9,1,62.9,5.0,0,0.0,0
72,1b9872e035e88fc720548cc74a815a46,129.0,1,129.0,5.0,0,0.0,0
73,a961e198a1d400e99c02e8f4520f763c,45.9,1,45.9,1.0,0,0.0,0
74,cd3f977fbad60553fce0f193593802bb,15.0,1,15.0,2.0,0,0.0,0
75,aaf46bd4e1ad43275a5a20bd485e7661,50.0,1,50.0,5.0,0,0.0,0
76,20681391edaed7eccd918d4a74f8a570,110.32,1,110.32,3.0,0,0.0,0
77,431af5c5638973ed6e431618f318a0a2,637.9,1,637.9,1.0,0,0.0,2
78,c087e490266509059177cb1ec7d802ba,69.9,1,69.9,5.0,0,0.0,0
79,385ec0e1c5bcf488115ca06b26ec9f8b,37.5,1,37.5,5.0,0,0.0,0
80,e1d387b30e693029c1e3d9ffe5df61e0,207.0,1,207.0,1.0,0,0.0,0
81,95a3ac562ffc17755618fb67ce57ef9a,135.16,2,67.58,4.0,0,0.0,0
82,5b540c6a8886384d1772215e6a189804,65.9,1,65.9,4.0,0,0.0,0
83,bacd3fc37792ceefcb45e0e90c9ffe42,43.99,1,43.99,5.0,0,0.0,0
84,422ce018570adf9fa031a7838717be81,59.9,1,59.9,5.0,0,0.0,0
85,a73c5464692d3bc09d64e3edefae9015,259.49,4,64.8725,5.0,0,105.67,1
86,442bdd695caba6183fc44d6cfdd4f094,0.0,1,0.0,1.0,0,0.0,0
87,32ea836b21bcefba824d2b279bc42e53,49.0,1,49.0,4.0,0,0.0,0
88,e2c44993145bac31c5c48b620e3f40f0,19.49,1,19.49,5.0,0,0.0,0
89,2c66c0b1075c04c7f6e113de9e3a89d9,59.8,1,59.8,3.0,0,0.0,0
90,6d55b4560e6c8ec28f8ba8099b442400,12.67,1,12.67,4.0,0,0.0,0
91,b53bb01fd133da16d7c7d9b602a3aac7,569.0,1,569.0,5.0,0,0.0,2
92,12d1cda209613cd60b9d242181be7077,35.9,1,35.9,5.0,0,0.0,0
93,6279364f420b1e08eb33a498db5fa6bc,109.9,1,109.9,5.0,0,0.0,0
94,00e872ca2fc94e59982286e69f186e0e,399.9,1,399.9,1.0,0,0.0,0
95,f9d4a283e4f19a47b64f95a3235d0a5c,13.65,1,13.65,5.0,0,0.0,0
96,28e2041c0f17e12da80a0146305c9259,16.5,1,16.5,4.0,0,0.0,0
97,6f8b40e5fdbd4a4b4dbaadc56f4bf681,62.9,1,62.9,5.0,0,0.0,0
98,1b6e96ed99cb8d135efe220d761bbd67,70.69,3,23.563333333333333,5.0,0,255.5,1
99,0125fb08af5c9dd55731090aafc63ac8,72.9,1,72.9,1.0,0,0.0,0
100,96e147852028a3ce1d25c86f03032023,199.99,1,199.99,5.0,0,0.0,0
101,8dfb9fff0eac6a63f34ed7707068e988,30.97,1,30.97,5.0,0,0.0,0
102,6dade60d28a0f5b8ae7e8d67321b4141,349.0,1,349.0,1.0,0,0.0,0
103,a2acf58dde7a492ea0fa65b16c530a78,63.0,1,63.0,5.0,0,0.0,0
104,aed838b04abeb2fb94566d0a073bd718,177.0,1,177.0,4.0,0,0.0,0
105,9e5f9798a71d8f5ec3020a5500d70430,18.95,1,18.95,3.0,0,0.0,0
106,8f20ece0099d6e5c22c1fd0c24a1e681,99.99,1,99.99,5.0,0,0.0,0
107,9dfcc502727549f99c9f73dbd28b35e9,79.98,1,79.98,2.0,0,0.0,0
108,3c9e98b59c61b1ccdba1108eca8c61d4,279.9,1,279.9,5.0,0,0.0,0
109,96d0aa18ee946b81f6b78e07830194a2,64.99,1,64.99,3.0,0,0.0,0
110,7ad12bd39f33737cb4f634c8c44af118,139.2,1,139.2,5.0,0,0.0,0
111,7bf845014243c08bdcea071d6981303e,79.8,1,79.8,4.0,0,0.0,0
112,a590fdd68e210fa5f42764a2493f6223,59.0,1,59.0,4.0,0,0.0,0
113,0a9854e7028c74302d0963fa56e77a18,89.0,1,89.0,3.0,0,0.0,0
114,df1710893e1797d2c3d83b8840ddb0e4,1200.0,1,1200.0,5.0,0,0.0,2
115,e90a1b194724309bbaa6228c398d1748,138.0,1,138.0,5.0,0,0.0,0
116,5e35d686648f9f99fd1f90161d3db93c,280.0,1,280.0,4.0,0,0.0,0
117,33e824e5fde35ad626278feba806c772,42.0,1,42.0,5.0,0,0.0,0
118,b6f424d6007b27912d37816a7d74ffaf,19.9,1,19.9,5.0,0,0.0,0
119,aa5824451a9437648ed4dcdac530566d,89.99,1,89.99,5.0,0,0.0,0
120,bace01b0aa7c98f2a7fce9db19555eb9,55.9,1,55.9,5.0,0,0.0,0
121,38827a4b81c4d81cffaec1accef6572c,29.9,1,29.9,5.0,0,0.0,0
122,e5ab9d9cc98f8d5befc51f952a44c87b,132.7,1,132.7,4.0,0,0.0,0
123,0301e2b22f44b5a060987ecf49f8ada8,99.0,1,99.0,5.0,0,0.0,0
124,d31233132950973bd0df88d4523ed465,219.99,1,219.99,3.0,0,0.0,0
125,fd03997c82649affc061d275ddf1f3d9,1245.99,2,622.995,5.0,0,0.0,2
126,f02249d034341b86c6bf3dd4ccc2bd2c,149.9,1,149.9,4.0,0,0.0,0
127,3cc8e80baa86a7befe2b24568cd0faf0,34.99,1,34.99,4.0,0,0.0,0
128,6aaa688f88ee9cc7f9b90d5f7cca7d84,59.9,1,59.9,2.0,0,0.0,0
129,4f25ec76e8c86ded17aa0c58f236df0f,42.99,1,42.99,4.0,0,0.0,0
130,dff41d762e4e7b68b73af7203a429072,111.6,2,55.8,3.0,0,0.0,0
131,8f6564e0a606d34b05edf1206e3b8bd7,42.5,1,42.5,4.0,0,0.0,0
132,bfb0780e4148d65b5490d6195da4bcb0,47.7,1,47.7,5.0,0,0.0,0
133,2a86852b89b186bb8aed750efd95ce73,29.9,1,29.9,4.0,0,0.0,0
134,36fbd29c230b156ac9b04a382bb20842,109.9,1,109.9,2.0,0,0.0,0
135,da6c70612a3d7484427e8442ff96056c,79.99,1,79.99,5.0,0,0.0,0
136,f794c59a46dc4872d97d173c1b51525a,240.0,1,240.0,5.0,0,0.0,0
137,9e8993ba2665307b71bd1641c2e1cb3d,239.98,1,239.98,3.0,0,0.0,0
138,c836c92436fdcd6e5475ef442481385c,24.79,1,24.79,4.0,0,0.0,0
139,851f75e1a1ffe3612cde92428a7e9701,260.0,1,260.0,5.0,0,0.0,0
