seller_key,seller_id,total_revenue,orders_count,items_sold,avg_order_value,avg_review_score,cancelled_orders_rate,distinct_products_sold,cluster
790,6d2f2e3b539480db1e0842b3a4e32e6e,305.96,3,6,101.98666666666666,3.6666666666666665,0.0,3,0
2850,bba74270a87732727b5a3b4fd9ac1c39,6001.59,36,41,166.71083333333334,3.9193548387096775,0.0,34,0
1798,98dac6635aee4995d501a3972e047414,4235.85,91,195,46.5478021978022,4.254133333333333,0.0,99,0
1489,4e42581f08e8cfc7c090f930bac4552a,336.0,3,4,112.0,1.0,0.0,3,0
1269,59cea8e446d3834393058e7e0666b6fb,696.6,10,10,69.66,4.6,0.0,10,0
2335,86bf77bdb52e615674772d5817c6212f,281.8,4,5,70.45,4.75,0.0,4,0
652,7ad41305e96a6cab8294cd65891e9a86,180.0,2,2,90.0,5.0,0.0,2,0
273,97512d3fc193b2d1dfcdba0f9d1f0f8a,1458.87,12,13,121.5725,4.25,0.0,12,0
1560,513a54369b6a8a6602fcb0e129c6d78d,47.8,2,2,23.9,4.5,0.0,2,0
51,0885aaf116795758dfeb5f1032487bcd,2648.0,28,30,94.57142857142857,4.314814814814815,0.0,28,0
2574,4830e40640734fc1c52cd21127c341d4,9843.47,210,219,46.873666666666665,4.085673758865248,0.009523809523809525,201,3
951,adbe70ab2c97442046d393988c8d1d27,289.5,5,5,57.9,5.0,0.0,5,0
1898,05d2173d43ea568aa0540eba70d2ca76,5759.66,62,66,92.89774193548386,4.230769230769231,0.0,65,0
70,11eac105f3f90a9b87b19c89d91e24f3,802.89,5,5,160.578,3.6,0.0,5,0
350,f88adb15807168d3c43d71021090ce4a,488.8,3,3,162.93333333333334,3.3333333333333335,0.0,3,0
758,e9779976487b77c6d4ac45f75ec7afe9,43162.95,657,750,65.69703196347032,4.242750716332378,0.0015220700152207,617,3
2425,0249d282d911d23cb8b869ab49c99f53,393.0,11,11,35.72727272727273,4.2727272727272725,0.0,11,0
2080,d05ae8f7a5bd1d2a690a44cd079e4e27,13436.0,78,81,172.25641025641025,3.8743076923076925,0.01282051282051282,72,0
2614,a72c2f59332659e361d647515c698798,802.9,5,6,160.58,4.8,0.0,5,0
2128,f3da5b2ff499efb8d4a6d371d175d7dd,3702.29,79,84,46.864430379746835,3.7693548387096776,0.0,76,0
2520,066a6914e1ebf3ea95a216c73a986b91,9410.38,68,74,138.38794117647058,4.063492063492063,0.0,68,0
2466,7a188843479798ca813108fa7b959286,149.7,1,3,149.7,1.0,0.0,1,0
2196,5f7300535881cef3b625fd683cf7d145,665.98,10,11,66.598,4.4,0.0,10,0
1750,b2ba3715d723d245138f291a6fe42594,51676.88,337,363,153.3438575667656,4.088260869565217,0.011869436201780416,329,3
1136,2ff97219cb8622eaf3cd89b7d9c09824,4476.9,89,96,50.30224719101123,4.518382352941177,0.011235955056179775,87,0
176,4d600e08ecbe08258c79e536c5a42fee,4465.34,8,8,558.1675,3.857142857142857,0.0,8,0
576,99eaacc9e6046db1c82b163c5f84869f,13139.17,66,70,199.07833333333335,3.8125,0.015151515151515152,61,0
1831,7681ef142fd2c19048da7430856b5588,31941.81,59,77,541.3866101694915,4.0204545454545455,0.0,58,0
1003,d2e753bb80b7d4faa77483ed00edc8ca,1320.7,14,15,94.33571428571429,3.7142857142857144,0.0,15,0
292,d1a5cc844736958c11b8efab9a2b4c87,237.6,1,1,237.6,1.0,0.0,1,0
1331,9dd459b29a14bf89d47183cf2cd0e4c7,180.0,2,2,90.0,5.0,0.0,2,0
2784,2f4b0d3b9634b647d4edee577d7ebb7e,337.9,10,11,33.79,4.928571428571429,0.0,8,0
663,5733d806668f8712c24b9abaefbfa642,243.8,2,2,121.9,5.0,0.0,2,0
929,94b9108d4b637ba65bb4f1e53cfcf8d8,234.96,7,8,33.565714285714286,4.428571428571429,0.0,7,0
1552,c8771b1a10bb99bb34d3c459c5cffb53,64.9,1,1,64.9,5.0,0.0,1,0
1589,1bc2e21de46adfea6b98cc96b00f3b40,1039.95,3,5,346.65,3.3333333333333335,0.0,3,0
1493,ab91571efab27993ff2f6b36e38055c3,102.24,3,4,34.08,4.666666666666667,0.0,3,0
1811,455befea1bb853c75ccbca94cff26e5c,19.99,1,1,19.99,3.0,0.0,1,0
2038,5f06030071324cc52bf0304014ac7234,783.96,4,4,195.99,4.333333333333333,0.0,3,0
2125,f84a00e60c73a49e7e851c9bdca3a5bb,5949.94,90,99,66.11044444444444,3.8333333333333335,0.0,90,0
556,712efd3b68f9686dc856b84abd0f21ae,139.0,1,1,139.0,4.0,0.0,1,0
764,b81e3a6c866a764974fe849821abeebd,836.15,8,11,104.51875,4.695,0.0,8,0
